E3,22/04/2017,Blackpool,Cheltenham,3,0,H,2,0,H,R Jones,17,9,5,4,10,14,4,4,1,0,0,0,1.95,3.75,4.1,1.9,3.6,3.8,1.85,3.3,3.8,1.91,3.4,4,1.96,3.62,4.18,1.91,3.3,4.2,1.95,3.7,4,43,1.96,1.91,3.75,3.44,4.2,3.89,42,2.1,2,1.86,1.77,20,-0.5,1.97,1.93,1.96,1.91,2.01,3.6,4
E3,22/04/2017,Colchester,Plymouth,0,0,D,0,0,D,D Handley,21,9,5,3,6,9,7,6,2,2,0,0,2.63,3.6,2.75,2.6,3.3,2.6,2.4,3.2,2.65,2.5,3.3,2.75,2.57,3.46,2.88,2.7,3.1,2.7,2.5,3.6,2.8,44,2.7,2.49,3.6,3.31,2.88,2.72,43,2,1.9,1.95,1.86,16,0,1.86,1.84,2.08,2.02,2.3,3.58,3.22
E3,22/04/2017,Crawley Town,Carlisle,3,3,D,2,2,D,D Deadman,10,13,6,5,9,13,2,3,2,3,0,0,3.25,3.5,2.3,3.2,3.2,2.25,3,3.15,2.2,3.1,3.25,2.3,3.28,3.39,2.35,3.2,3.1,2.3,3.13,3.5,2.3,43,3.28,3.1,3.5,3.26,2.35,2.28,43,2.19,2.05,1.8,1.74,20,0.25,1.9,1.86,2.03,1.98,3.05,3.59,2.39
E3,22/04/2017,Crewe,Leyton Orient,3,0,H,3,0,H,M Brown,25,2,10,1,5,10,9,1,1,0,0,0,1.62,4.33,5.75,1.6,4,5.25,1.55,3.75,4.95,1.62,4,5.25,1.63,4.26,5.7,1.67,3.5,5.5,1.62,4.33,5.4,44,1.67,1.6,4.33,3.93,5.75,5.27,43,1.81,1.74,2.16,2.04,16,-1,2.1,2.04,1.84,1.78,1.63,4.33,5.59
E3,22/04/2017,Exeter,Morecambe,3,1,H,0,0,D,L Swabey,14,9,7,2,13,14,3,8,2,5,0,0,1.45,4.75,8,1.44,4.2,7.5,1.4,4.15,6.25,1.44,4.33,7,1.47,4.65,7.62,1.5,3.75,8,1.45,4.75,7,43,1.5,1.45,4.75,4.28,8,6.87,42,1.78,1.7,2.22,2.1,20,-1,1.8,1.74,2.19,2.13,1.43,5.25,7.5
E3,22/04/2017,Grimsby,Yeovil,4,2,H,2,0,H,E Ilderton,17,6,10,2,9,7,3,7,0,0,0,0,2.75,3.25,2.8,2.65,3.2,2.65,2.6,3,2.55,2.7,3.1,2.7,2.81,3.24,2.78,2.7,3.1,2.7,2.75,3.25,2.75,43,2.81,2.68,3.25,3.12,2.8,2.67,38,2.28,2.18,1.69,1.64,16,0,1.98,1.93,1.97,1.92,2.42,3.28,3.26
E3,22/04/2017,Hartlepool,Barnet,0,2,A,0,0,D,T Kettle,10,19,3,4,13,9,3,5,0,0,0,0,2.55,3.5,2.88,2.6,3.2,2.7,2.45,3.15,2.6,2.4,3.3,2.8,2.47,3.54,2.96,2.6,3.3,2.7,2.55,3.5,2.8,45,2.62,2.47,3.54,3.29,2.96,2.76,44,2,1.92,1.93,1.84,16,-0.25,2.21,2.14,1.83,1.73,2.88,3.5,2.55
E3,22/04/2017,Newport County,Accrington,1,0,H,0,0,D,M Heywood,11,9,3,3,17,13,5,4,3,2,0,0,3.25,3.4,2.38,3,3.3,2.3,2.9,3.15,2.2,3.1,3.3,2.3,3.24,3.49,2.33,3.1,3.1,2.4,3.13,3.4,2.38,44,3.25,3.06,3.49,3.28,2.4,2.29,43,2.13,2,1.86,1.78,20,0.25,1.91,1.85,2.03,1.99,3.11,3.57,2.36
E3,22/04/2017,Portsmouth,Cambridge,2,1,H,1,0,H,G Ward,16,13,5,2,11,19,2,3,3,1,0,0,1.85,3.75,4.5,1.8,3.5,4.33,1.75,3.35,4.15,1.8,3.5,4.33,1.85,3.71,4.66,1.91,3.2,4.33,1.85,3.75,4.4,44,1.91,1.81,3.75,3.49,4.66,4.3,43,2.06,1.97,1.86,1.79,20,-0.5,1.87,1.82,2.08,2.02,1.79,3.85,4.79
E3,22/04/2017,Stevenage,Mansfield,0,1,A,0,1,A,G Salisbury,8,10,3,4,13,19,2,6,3,1,0,0,2.9,3.5,2.55,2.8,3.2,2.5,2.75,3.1,2.35,2.9,3.2,2.4,3.04,3.32,2.53,2.8,3.1,2.6,3,3.4,2.45,43,3.04,2.85,3.5,3.21,2.6,2.45,38,2.16,2.05,1.76,1.72,14,0,2.18,2.12,1.79,1.76,3.37,3.5,2.26
